latitude,longitude,mag,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12
-103.11,48.939,-7.39E-05,-0.00016353,-0.0002493,-0.0003288,-0.0004003,-0.00046275,-0.00051561,-0.00055876,-0.00059256,1.31E-05,-9.42E-05,-0.019688
-102.04,48.897,-0.00026673,-0.00026682,-0.00026471,-0.00026063,-0.00025473,-0.00024712,-0.00023804,-0.00022799,-0.00021756,-0.00024513,-0.00027059,-0.0077496
-101.24,48.953,-8.27E-05,-7.19E-05,-6.06E-05,-4.94E-05,-3.88E-05,-2.87E-05,-1.91E-05,-1.02E-05,-2.20E-06,0.00028943,0.00038313,0.0068962
-100.27,48.91,-6.65E-05,2.73E-05,0.00011869,0.00020459,0.00028284,0.000352,0.00041131,0.00046057,0.00049994,0.00033898,0.00038033,0.0022098
-99.232,48.923,-0.000213,-0.0002736,-0.00033006,-0.00038098,-0.00042544,-0.000463,-0.00049362,-0.00051735,-0.00053429,0.00041363,0.00044912,-0.011663
-98.301,48.94,-8.55E-05,-0.00012584,-0.00016358,-0.00019758,-0.00022716,-0.00025222,-0.00027313,-0.00029028,-0.00030376,-0.00048204,-0.00048966,-0.0084448
-97.189,48.932,0.00027485,0.00043354,0.00058364,0.00072052,0.00084085,0.00094266,0.0010252,0.0010891,0.0011357,-7.39E-05,-0.00016353,-0.00076126
-96.493,48.917,-0.00011557,-0.00010444,-9.21E-05,-7.92E-05,-6.63E-05,-5.42E-05,-4.32E-05,-3.37E-05,-2.58E-05,-0.00026673,-0.00026682,0.00028511
-95.39,48.937,0.00067001,0.00061349,0.00055306,0.00049157,0.00043117,0.000373,0.00031772,0.00026613,0.00021933,-8.27E-05,-7.19E-05,-0.0013259
-99.643,32.624,2.25E-05,6.85E-05,0.00011217,0.00015215,0.00018755,0.00021796,0.00024348,0.00026439,0.00028089,-6.65E-05,2.73E-05,0.01196
-122.1,48.264,-0.000227,-0.0002707,-0.00031072,-0.00034599,-0.00037565,-0.00039943,-0.00041773,-0.00043115,-0.00044013,-0.000213,-0.0002736,-0.0025776
-103.16,48.272,0.00010513,9.93E-07,-0.00010064,-0.00019649,-0.00028402,-0.0003617,-0.00042891,-0.0004855,-0.00053147,-8.55E-05,-0.00012584,-0.0073536
-102.23,48.376,-4.71E-05,-0.00012073,-0.00019213,-0.00025935,-0.00032053,-0.0003742,-0.00041959,-0.00045662,-0.00048579,0.00027485,0.00043354,0.022174
-101.26,48.404,-0.00012248,-0.00010113,-7.94E-05,-5.80E-05,-3.74E-05,-1.82E-05,-1.01E-06,1.39E-05,2.63E-05,-0.00011557,-0.00010444,0.011903
-100.36,48.449,-0.00024647,-0.00030119,-0.00035192,-0.00039753,-0.00043732,-0.00047081,-0.00049762,-0.00051768,-0.00053131,0.00067001,0.00061349,0.025834
-99.353,48.465,-2.68E-05,-0.00011737,-0.00020446,-0.00028536,-0.00035788,-0.00042059,-0.00047294,-0.00051524,-0.00054826,2.25E-05,6.85E-05,0.0062383
-98.329,48.45,-3.79E-05,-0.00012097,-0.00020077,-0.00027487,-0.00034159,-0.0003998,-0.00044891,-0.00048888,-0.00052014,-0.000227,-0.0002707,-0.0071671
-97.65,48.424,0.00018418,0.0001105,3.76E-05,-3.21E-05,-9.68E-05,-0.00015567,-0.00020789,-0.00025306,-0.00029109,0.00010513,9.93E-07,-0.0020833
-96.536,48.395,0.00012919,7.77E-05,2.73E-05,-2.03E-05,-6.37E-05,-0.00010226,-0.00013592,-0.00016459,-0.00018811,-4.71E-05,-0.00012073,-0.00038285
-95.588,48.272,0.00038679,0.00014656,-8.85E-05,-0.00031042,-0.00051394,-0.00069597,-0.00085499,-0.0009902,-0.0011012,-0.00012248,-0.00010113,0.0065171
-94.65,48.486,-0.00052957,-0.00039381,-0.00025929,-0.00013081,-1.13E-05,9.77E-05,0.0001954,0.00028102,0.00035352,-0.00024647,-0.00030119,0.011082
-93.726,48.36,-0.00035083,-0.00050821,-0.00065765,-0.00079514,-0.00091754,-0.0010229,-0.0011103,-0.0011801,-0.0012325,-2.68E-05,-0.00011737,0.0077232
-98.15,41.408,-7.96E-05,-8.55E-05,-9.06E-05,-9.48E-05,-9.83E-05,-0.00010113,-0.00010325,-0.0001045,-0.00010486,-3.79E-05,-0.00012097,-0.0058969
-120.89,47.923,-3.60E-05,-5.25E-05,-6.75E-05,-8.06E-05,-9.15E-05,-0.00010018,-0.00010698,-0.00011234,-0.00011662,0.00018418,0.0001105,0.017764
